,item_description,price,category,site_name
16,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 3ft cable length, red. For use with 10/100/1000 Mbps networks.",$4.75,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
17,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 3ft cable length, yellow. For use with 10/100/1000 Mbps networks.",$4.75,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
18,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 3ft cable length, orange. For use with 10/100/1000 Mbps networks.",$4.75,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
19,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 7ft cable length, gray. For use with 10/100/1000 Mbps networks.",$7.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
20,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 7ft cable length, black. For use with 10/100/1000 Mbps networks.",$7.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
21,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 7ft cable length, blue. For use with 10/100/1000 Mbps networks.",$7.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
22,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 7ft cable length, green. For use with 10/100/1000 Mbps networks.",$7.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
23,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 7ft cable length, purple. For use with 10/100/1000 Mbps networks.",$7.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
24,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 7ft cable length, red. For use with 10/100/1000 Mbps networks.",$7.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
25,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 7ft cable length, yellow. For use with 10/100/1000 Mbps networks.",$7.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
26,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 7ft cable length, orange. For use with 10/100/1000 Mbps networks.",$7.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
27,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 10ft cable length, gray. For use with 10/100/1000 Mbps networks.",$9.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
28,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 10ft cable length, black. For use with 10/100/1000 Mbps networks.",$9.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
29,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 10ft cable length, blue. For use with 10/100/1000 Mbps networks.",$9.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
30,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 10ft cable length, green. For use with 10/100/1000 Mbps networks.",$9.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
31,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 10ft cable length, purple. For use with 10/100/1000 Mbps networks.",$9.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
32,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 10ft cable length, red. For use with 10/100/1000 Mbps networks.",$9.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
33,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 10ft cable length, yellow. For use with 10/100/1000 Mbps networks.",$9.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
34,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 10ft cable length, orange. For use with 10/100/1000 Mbps networks.",$9.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
35,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 14ft cable length, gray. For use with 10/100/1000 Mbps networks.",$11.00,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
36,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 14ft cable length, black. For use with 10/100/1000 Mbps networks.",$11.00,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
37,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 14ft cable length, blue. For use with 10/100/1000 Mbps networks.",$11.00,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
38,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 14ft cable length, green. For use with 10/100/1000 Mbps networks.",$11.00,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
39,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 14ft cable length, purple. For use with 10/100/1000 Mbps networks.",$11.00,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
40,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 14ft cable length, red. For use with 10/100/1000 Mbps networks.",$11.00,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
41,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 14ft cable length, yellow. For use with 10/100/1000 Mbps networks.",$11.00,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
42,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 14ft cable length, orange. For use with 10/100/1000 Mbps networks.",$11.00,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
43,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 25ft cable length, gray. For use with 10/100/1000 Mbps networks.",$15.50,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
44,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 25ft cable length, black. For use with 10/100/1000 Mbps networks.",$15.50,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
45,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 25ft cable length, blue. For use with 10/100/1000 Mbps networks.",$15.50,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
46,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 25ft cable length, green. For use with 10/100/1000 Mbps networks.",$15.50,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
47,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 25ft cable length, purple. For use with 10/100/1000 Mbps networks.",$15.50,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
48,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 25ft cable length, red. For use with 10/100/1000 Mbps networks.",$15.50,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
49,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 25ft cable length, yellow. For use with 10/100/1000 Mbps networks.",$15.50,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
50,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 25ft cable length, orange. For use with 10/100/1000 Mbps networks.",$15.50,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
51,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 50ft cable length, gray. For use with 10/100/1000 Mbps networks.",$26.00,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
52,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 50ft cable length, black. For use with 10/100/1000 Mbps networks.",$26.00,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
53,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 50ft cable length, blue. For use with 10/100/1000 Mbps networks.",$26.00,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
54,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 50ft cable length, green. For use with 10/100/1000 Mbps networks.",$26.00,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
55,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 50ft cable length, purple. For use with 10/100/1000 Mbps networks.",$26.00,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
56,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 50ft cable length, red. For use with 10/100/1000 Mbps networks.",$26.00,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
57,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 50ft cable length, yellow. For use with 10/100/1000 Mbps networks.",$26.00,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
58,"CLICK Basic PLC, 24 VDC required, serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, sinking.",$69.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
59,"CLICK Basic PLC, 24 VDC required, serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, sourcing.",$69.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
60,"CLICK Basic PLC, 24 VDC required, serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, relay.",$81.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
61,"CLICK Basic PLC, 24 VDC required, serial ports, Discrete Input: 8-point, AC, Discrete Output: 6-point, relay.",$81.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
62,"CLICK Standard PLC, 24 VDC required, serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, sinking.",$101.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
63,"CLICK Standard PLC, 24 VDC required, serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, sourcing.",$101.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
64,"CLICK Standard PLC, 24 VDC required, serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, relay.",$112.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
65,"CLICK Standard PLC, 24 VDC required, serial ports, Discrete Input: 8-point, AC, Discrete Output: 6-point, relay.",$112.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
66,"CLICK Analog PLC, 24 VDC required, serial ports, Discrete Input: 4-point, DC, Analog Input: 2-channel, current/voltage, Discrete Output: 4-point, sinking, Analog Output: 2-channel, current/voltage.",$132.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
67,"CLICK Analog PLC, 24 VDC required, serial ports, Discrete Input: 4-point, DC, Analog Input: 2-channel, current/voltage, Discrete Output: 4-point, sourcing, Analog Output: 2-channel, current/voltage.",$132.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
68,"CLICK Analog PLC, 24 VDC required, serial ports, Discrete Input: 4-point, DC, Analog Input: 2-channel, current/voltage, Discrete Output: 4-point, relay, Analog Output: 2-channel, current/voltage.",$142.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
69,"CLICK Ethernet Basic PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, sinking.",$132.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
70,"CLICK Ethernet Basic PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, sourcing.",$132.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
71,"CLICK Ethernet Basic PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, relay.",$142.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
72,"CLICK Ethernet Basic PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 8-point, AC, Discrete Output: 6-point, relay.",$142.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
73,"CLICK Ethernet Standard PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, sinking.",$153.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
74,"CLICK Ethernet Standard PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, sourcing.",$153.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
75,"CLICK Ethernet Standard PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, relay.",$163.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
76,"CLICK Ethernet Standard PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 8-point, AC, Discrete Output: 6-point, relay.",$163.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
77,"CLICK Ethernet Analog PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 4-point, DC, Analog Input: 2-channel, current/voltage, Discrete Output: 4-point, sinking, Analog Output: 2-channel, current/voltage.",$183.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
78,"CLICK Ethernet Analog PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 4-point, DC, Analog Input: 2-channel, current/voltage, Discrete Output: 4-point, sourcing, Analog Output: 2-channel, current/voltage.",$183.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
79,"CLICK Ethernet Analog PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 4-point, DC, Analog Input: 2-channel, current/voltage, Discrete Output: 4-point, relay, Analog Output: 2-channel, current/voltage.",$194.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
80,"CLICK Ethernet Analog PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 4-point, AC, Analog Input: 2-channel, current/voltage, Discrete Output: 4-point, relay, Analog Output: 2-channel, current/voltage.",$194.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
81,"CLICK Ethernet Analog PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 4-point, DC, Analog Input: 4-channel, current, Discrete Output: 4-point, sinking, Analog Output: 2-channel, current.",$183.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
82,"CLICK Ethernet Analog PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 4-point, DC, Analog Input: 4-channel, current, Discrete Output: 4-point, sourcing, Analog Output: 2-channel, current.",$183.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
83,"CLICK Ethernet Analog PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 4-point, DC, Analog Input: 4-channel, current, Discrete Output: 4-point, relay, Analog Output: 2-channel, current.",$194.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
84,"CLICK Ethernet Analog PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 4-point, AC, Analog Input: 4-channel, current, Discrete Output: 4-point, relay, Analog Output: 2-channel, current.",$194.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
85,"CLICK Ethernet Analog PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 4-point, DC, Analog Input: 4-channel, voltage, Discrete Output: 4-point, sinking, Analog Output: 2-channel, voltage.",$183.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
86,"CLICK Ethernet Analog PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 4-point, DC, Analog Input: 4-channel, voltage, Discrete Output: 4-point, sourcing, Analog Output: 2-channel, voltage.",$183.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
87,"CLICK Ethernet Analog PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 4-point, DC, Analog Input: 4-channel, voltage, Discrete Output: 4-point, relay, Analog Output: 2-channel, voltage.",$194.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
88,"CLICK discrete input module, 8-point, 12-24 VDC, sinking/sourcing, 2 isolated common(s), 4 point(s) per common. Removable terminal block included.",$34.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|DC I/O,Automation Direct
89,"CLICK discrete input module, 8-point, 3.3-5 VDC, sinking/sourcing, 2 isolated common(s), 4 point(s) per common. Removable terminal block included.",$34.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|DC I/O,Automation Direct
90,"CLICK discrete input module, 16-point, 24 VDC, sinking/sourcing, 4 isolated common(s), 4 point(s) per common. Removable terminal block included.",$46.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|DC I/O,Automation Direct
91,"CLICK discrete output module, 8-point, 3.3-27 VDC, sinking, 2 isolated common(s), 4 point(s) per common, 0.3A/point. Removable terminal block included.",$36.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|DC I/O,Automation Direct
92,"CLICK discrete output module, 8-point, 12-24 VDC, sourcing, 1 isolated common(s), 8 point(s) per common, 0.3A/point. Removable terminal block included.",$36.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|DC I/O,Automation Direct
93,"CLICK discrete output module, 16-point, 5-27 VDC, sinking, 2 isolated common(s), 8 point(s) per common, 0.1A/point. Removable terminal block included.",$46.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|DC I/O,Automation Direct
94,"CLICK discrete output module, 16-point, 12-24 VDC, sourcing, 2 isolated common(s), 8 point(s) per common, 0.1A/point. Removable terminal block included.",$46.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|DC I/O,Automation Direct
95,"CLICK discrete combo module, Input: 4-point, 12-24 VDC, sinking/sourcing, Output: 4-point, 6-240 VAC/6-27 VDC, (1) Form A (SPST) relay, 1A/point. Removable terminal block included.",$50.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|DC I/O,Automation Direct
96,"CLICK discrete combo module, Input: 8-point, 24 VDC, sinking/sourcing, Output: 8-point, 5-27 VDC, sinking, 0.1A/point. Removable terminal block included.",$60.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|DC I/O,Automation Direct
97,"CLICK discrete input module, 8-point, 100-120 VAC, 2 isolated common(s), 4 point(s) per common. Removable terminal block included.",$41.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|AC I/O & Relay Outputs,Automation Direct
98,"CLICK discrete input module, 8-point, 24 VAC/VDC, sinking/sourcing, 2 isolated common(s), 4 point(s) per common. Removable terminal block included.",$36.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|AC I/O & Relay Outputs,Automation Direct
99,"CLICK discrete input module, 16-point, 24 VAC/VDC, sinking/sourcing, 4 isolated common(s), 4 point(s) per common. Removable terminal block included.",$50.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|AC I/O & Relay Outputs,Automation Direct
100,"CLICK discrete output module, 8-point, 17-240 VAC, 2 isolated common(s), 4 point(s) per common, 0.3A/point. Removable terminal block included.",$51.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|AC I/O & Relay Outputs,Automation Direct
101,"CLICK relay output module, 4-point, 6-240 VAC/6-27 VDC, (1) Form C, 4 isolated common(s), 1 point(s) per common, 7A/point. Removable terminal block included.",$45.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|AC I/O & Relay Outputs,Automation Direct
102,"CLICK relay output module, 8-point, 6-240 VAC/6-27 VDC, (1) Form A, 2 isolated common(s), 4 point(s) per common, 1A/point. Removable terminal block included.",$41.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|AC I/O & Relay Outputs,Automation Direct
103,"CLICK analog input module, 4-channel, current, 13-bit, input current signal range(s) of 0-20 mA, external 24 VDC required.",$91.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|Analog I/O,Automation Direct
104,"CLICK analog input module, 4-channel, voltage, 13-bit, input voltage signal range(s) of 0-10 VDC, external 24 VDC required.",$91.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|Analog I/O,Automation Direct
105,"CLICK analog output module, 4-channel, current, 12-bit, output current signal range(s) of 4-20 mA, external 24 VDC required.",$122.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|Analog I/O,Automation Direct
106,"CLICK analog output module, 4-channel, voltage, 12-bit, output voltage signal range(s) of 0-10 VDC, external 24 VDC required.",$122.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|Analog I/O,Automation Direct
107,"CLICK analog combo module, Input: 4-channel, current, 0-20 mA, Output: 2-channel, current, 4-20 mA.",$153.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|Analog I/O,Automation Direct
108,"CLICK analog combo module, Input: 4-channel, voltage, 0-10 VDC, Output: 2-channel, voltage, 0-10 VDC.",$153.00,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|Analog I/O,Automation Direct
