uid,pid,item_description,price,category,site_name
1,1030,#8 TORX® Equivalent (6-Lobe) Security Power Handle Screwdriver,nan,Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Torx Security Bits & Tools,Tanner Bolt
1,948,"1/4""-20 x 3-3/4"" Self-Drilling Screws with Wings - Wood to Metal Reamers, Phillips Flat Head, #4 Point, #3 Phillips Driver, Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
1,1045,"#10-16 x 5/8"" Drilit® Self-Drilling Screws, 5/16"" High Hex Washer Head, #3 Drilit® Point, Carbon Steel with Stalgard Coating, Made in USA",nan,"Fasteners|Screws|Self Drilling Screws|Elco Self-Drilling Screws|Standard Drilit® Self-Drilling Screws, Made in USA|Drilit® Self-Drilling Screws, Hex Washer Head, Made in USA",Tanner Bolt
1,465,DC CUTOFF WHEEL 7X1/4X7/8 LL DISC *,nan,AbrasivesCutting and Grinding (443)Grinding & Sharpening (268)Portable Grinding (182),dillonsupply.com
1,527,89097 CUTOFF WHL 7X1/8(3/32)DM GEMINI WL,nan,|Abrasives|Cutting and Grinding (443)|Grinding & Sharpening (268)|Portable Grinding (182),dillonsupply.com
1,1034,"#15 TORX® Equivalent (6-Lobe) Security 1/4"" Hex Key",nan,Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Torx Security Bits & Tools,Tanner Bolt
1,453,DC C/OFF WH T 27 4.5X1/4X7/8 GEM 43594,nan,AbrasivesCutting and Grinding (443)Grinding & Sharpening (268)Portable Grinding (182),dillonsupply.com
1,1049,"#10-16 x 1-1/2"" Drilit® Self-Drilling Screws, 5/16"" High Hex Washer Head, #3 Drilit® Point, Carbon Steel with Stalgard Coating, Made in USA",nan,"Fasteners|Screws|Self Drilling Screws|Elco Self-Drilling Screws|Standard Drilit® Self-Drilling Screws, Made in USA|Drilit® Self-Drilling Screws, Hex Washer Head, Made in USA",Tanner Bolt
1,560,DC CUTOFF WHEEL 4.5X1/4X5/8-11 GEM MD,nan,Abrasives|Cutting and Grinding (443)|Grinding & Sharpening (268)|Portable Grinding (182),dillonsupply.com
1,950,"#10 x 1"" Self-Drilling Architectural Clip Screws, Low Profile Head with Combo Phillips / Square Drive, #3 Point, Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
1,928,"#12-24 x 1-3/4"" Self-Drilling Screws with Wings - Wood to Metal Reamers, Phillips Wafer Head, #4 Point, Cabon Steel with Gray Stalgard Coating, Made in USA",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
1,932,"#12-24 x 2-1/2"" Self-Drilling Screws with Wings - Wood to Metal Reamers, Phillips Flat Head, #4 Point, #3 Phillips Driver, Tanner Pro Ultra-Guard Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
1,473,5 X 1/4 X 7/8 NZ PLUS T27 28805,nan,AbrasivesCutting and Grinding (443)Grinding & Sharpening (268)Portable Grinding (182),dillonsupply.com
1,1005,"#7 Torx® Equivalent Security 1/4"""" Hex Bit",nan,Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Torx Security Bits & Tools,Tanner Bolt
1,912,"1/4""-20 x 3"" Bi-Flex® 300 Series Bi-Metal Self-Drilling Screws, Undercut Flat Head with #3 Phillips Drive, #2 Point, Hardened Steel Tapping Threads and Point, 18-8 Stainless Steel Head and Shank with Stalgard GB Coating",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
1,591,DC CUTOFF WHEEL 9X1/4X7/8 LL DISC,nan,Abrasives|Cutting and Grinding (443)|Grinding & Sharpening (268)|Portable Grinding (182),dillonsupply.com
1,467,89097 CUTOFF WHL 7X1/8(3/32)DM GEMINI WL,nan,AbrasivesCutting and Grinding (443)Grinding & Sharpening (268)Portable Grinding (182),dillonsupply.com
1,590,4-1/2X1/4X5/8 NZ PLUS T27,nan,Abrasives|Cutting and Grinding (443)|Grinding & Sharpening (268)|Portable Grinding (182),dillonsupply.com
1,915,"#10-24 x 1"" Self-Drilling Screws, Thin Phillips Wafer Head, #3 Point, #2 Phillips Driver, Tanner Ultra-Guard Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
1,579,DC CUTOFF WHEEL 4.5X1/4X5/8-11 GEM MD,nan,Abrasives|Cutting and Grinding (443)|Grinding & Sharpening (268)|Portable Grinding (182),dillonsupply.com
1,486,55281 METABO WHEEL 4-1/2X1/8X5/8-11,nan,AbrasivesCutting and Grinding (443)Grinding & Sharpening (268)Portable Grinding (182),dillonsupply.com
2,135,"Productivity1000 analog output module, 4-channel, current, 12-bit, output current signal range(s) of 4-20 mA, external 24 VDC required.",97.0,Programmable Controllers|Productivity Series ...|Productivity1000 (St...|Analog I/O,Automation Direct
2,388,"Dynabrade® 54332 Non-Vacuum Disc Backing Pad With 5 Screws, 8 in Dia, Hook Attachment, Rubber",40.91,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
2,419,"Dynabrade® 50633 Vacuum Disc Backing Pad, 6 Holes, 6 in Dia, 5/16-24 Male, PSA Attachment, Rubber",26.33,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
2,738,"Dosatron® 3/4"" Flow Restrictor - 14 GPM",55.11,"Commercial & Industrial|Horticulture & Greenhouse|Injectors, Medicators, Proportioners",QC Supply
3,196,Hand Brake HBR-7222,995.0,"Metalworking|Sheet Metal Brakes, Rolls & Shears|Sheet Metal Brakes|Straight Sheet Metal Brakes",Bailiegh Industrial
3,283,Gear Driven Band Saw BS-260M,4695.0,Metalworking|Saws|Band Saws|Manual Band Saws,Bailiegh Industrial
3,404,"Dynabrade® 56185 Non-Vacuum Backing Pad, 5 in Dia, 5/16-24 Male, PSA Attachment, Vinyl",28.69,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
3,135,"Productivity1000 analog output module, 4-channel, current, 12-bit, output current signal range(s) of 4-20 mA, external 24 VDC required.",97.0,Programmable Controllers|Productivity Series ...|Productivity1000 (St...|Analog I/O,Automation Direct
3,293,Horizontal Band Saw BS-700SA,65995.0,Metalworking|Saws|Band Saws|Semi-Automatic Band Saws,Bailiegh Industrial
3,138,"Productivity1000 analog combo module, Input: 4-channel, voltage, 0-10 VDC, Output: 2-channel, voltage, 0-10 VDC. Requires P1-10RTB or P1-10RTB-1 removable terminal block or ZIPLink pre-wired cables.",108.0,Programmable Controllers|Productivity Series ...|Productivity1000 (St...|Analog I/O,Automation Direct
3,414,"Dynabrade® 56252 Channel Vacuum Backing Pad, 5 Holes, 5 in Dia, 5/16-24 Male, PSA Attachment, Urethane/Vinyl Face",34.76,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
3,60,"CLICK Basic PLC, 24 VDC required, serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, relay.",81.0,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
4,760,"1/4"" {A} x 1-1/2"" {B} 4140 Cold Finished, Annealed - 18""",12.49,"Alloy|Flat|Cold Finished|1/4"" {A} x 1-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
4,190,MB4X2-20 Mandrel Table for MB-4X2 (20'),10395.0,Metalworking|Tube & Pipe Benders|Bender Tooling & Accessories|Mandrel Bender Tooling and Accessories,Bailiegh Industrial
4,1026,#27 TORX® Equivalent (6-Lobe) Security Screw Driver Power Handle,nan,Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Torx Security Bits & Tools,Tanner Bolt
4,1014,"#30 X 2"" TORX® Equivalent (6-Lobe) Security 1/4"" Hex Bit",nan,Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Torx Security Bits & Tools,Tanner Bolt
4,152,Manual Tube Bender RDB-050,1095.0,Metalworking|Tube & Pipe Benders|Manual Rotary Draw Benders,Bailiegh Industrial
4,221,Hydraulic Box and Pan Brake BB-9612H,19295.0,"Metalworking|Sheet Metal Brakes, Rolls & Shears|Sheet Metal Brakes|Hydraulic Sheet Metal Brakes",Bailiegh Industrial
4,191,10' Rotary Positioning Table for RDB-250 (IDX-10-250-M),4095.0,Metalworking|Tube & Pipe Benders|Bender Tooling & Accessories|Tube Bending Accessories,Bailiegh Industrial
4,902,"#8-18 x 3/4"" Bi-Flex® 300 Series Bi-Metal Self-Drilling Screws, Pan Head with #2 Phillips Drive, #2 Point, Hardened Steel Tapping Threads and Point, 18-8 Stainless Steel Head and Shank with Stalgard GB Coating",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
4,984,"#14 x 1 Tamper-Resistant Self Drilling Screws, Torx® Equivalent 6-Lobe with Solid Post, Flat Head, Driver Size: 27TXH, Hardened 410 Stainless Steel",nan,"Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Flat Head, Hardened 410 Stainless Steel",Tanner Bolt
5,241,Plate Roll PR-613,18595.0,"Metalworking|Sheet Metal Brakes, Rolls & Shears|Slip & Plate Rolls|Three Roll Plate Rolls",Bailiegh Industrial
5,254,Sheet Metal Shear SH-12014,20895.0,"Metalworking|Sheet Metal Brakes, Rolls & Shears|Sheet Metal Shears|Hydraulic Sheet Metal Shears",Bailiegh Industrial
5,187,CNC Roll Bender R-CNC80,63095.0,Metalworking|Tube & Pipe Benders|Roll Benders|CNC Roll Benders,Bailiegh Industrial
5,417,"Dynabrade® Dynabug® 56288 Model T Non-Vacuum Backing Pad, 6 in Dia, Hook Attachment",27.74,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
5,446,"Dynabrade® 56103 Non-Vacuum Backing Pad, 6 in Dia, 5/16-24 Male, PSA Attachment, Vinyl",32.06,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
5,181,Hydraulic Roll Bender R-H85,36195.0,Metalworking|Tube & Pipe Benders|Roll Benders|Hydraulic Roll Benders,Bailiegh Industrial
5,264,Plate Shear SH-120250-HD,45695.0,"Metalworking|Sheet Metal Brakes, Rolls & Shears|Sheet Metal Shears|Hydraulic Sheet Metal Shears",Bailiegh Industrial
5,797,"1/4"" {A} x 4"" {B} 4140 Cold Finished, Annealed - 72""",153.57,"Alloy|Flat|Cold Finished|1/4"" {A} x 4"" {B} 4140 Cold Finished, Annealed",Speedy Metals
5,303,"3M 85734 Wood Machine Kit, 5 Pieces",1015.83,Abrasives|Abrasive Accessories|Abrasive Sets,Blackhawk Industrial
5,758,"1/4"" {A} x 1-1/2"" {B} 4140 Cold Finished, Annealed - By the Inch",0.82,"Alloy|Flat|Cold Finished|1/4"" {A} x 1-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
5,419,"Dynabrade® 50633 Vacuum Disc Backing Pad, 6 Holes, 6 in Dia, 5/16-24 Male, PSA Attachment, Rubber",26.33,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
5,957,"#8 x 1-1/4"" Fiber Cement Board Self-Drilling Screws, Phillips Wafer Head, #2 Point, #2 Phillips Driver, Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
5,958,"#8 x 1-5/8"" Cement Board Self-Drilling Screws, Phillips Wafer Head, #2 Point, #2 Phillips Driver, Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
5,343,"Roloc 051144-45099 Regular Disc Backup Pad, 1-1/2 in Dia, 1/4-20 INT",17.55,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
5,159,Baileigh Tube Bender RDB-250,10795.0,Metalworking|Tube & Pipe Benders|Computer Programmable Rotary Draw Benders,Bailiegh Industrial
5,876,"1/2"" {A} x 2"" {B} 4140 Cold Finished, Annealed - 60""",71.11,"Alloy|Flat|Cold Finished|1/2"" {A} x 2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
5,326,"Weiler® 07771P Arbor Adapter, 5/8-11 to M10x1.25",6.05,Abrasives|Abrasive Accessories|Adapters & Bushings,Blackhawk Industrial
5,1028,#40 Torx Security Screw Driver Power Handle,nan,Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Torx Security Bits & Tools,Tanner Bolt
5,154,Baileigh Industrial Rotary Draw Bender - RDB-125,4895.0,Metalworking|Tube & Pipe Benders|Hydraulic Rotary Draw Benders,Bailiegh Industrial
5,878,"1/2"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed - By the Inch",1.83,"Alloy|Flat|Cold Finished|1/2"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
5,322,"3M 048011-22971 Disc Holder Adapter, 5/8-11 EXT - M10x1.25 INT",12.89,Abrasives|Abrasive Accessories|Adapters & Bushings,Blackhawk Industrial
5,970,"#10 x 2-1/2"" Tamper-Resistant Self Drilling Screws, Torx® Equivalent 6-Lobe with Solid Post, Flat Head, Driver Size: 20TXH, Hardened 410 Stainless Steel",nan,"Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Flat Head, Hardened 410 Stainless Steel",Tanner Bolt
5,165,Mandrel Tube Bender – MB-350,44895.0,Metalworking|Tube & Pipe Benders|Mandrel Benders,Bailiegh Industrial
6,780,"1/4"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed - 60""",60.48,"Alloy|Flat|Cold Finished|1/4"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
6,360,"Dynabrade® Dynaline® 57471 Non-Vacuum Backing Pad With 2 Screws, 2-3/4 in Dia, Hook and Loop Attachment",32.6,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
6,132,"Productivity1000 relay output module, 8-point, 6-24 VDC/6-120 VAC, (6) Form A, (2) Form C, 8 isolated common(s), 1 point(s) per common, 3A/point. Requires P2-RTB or P2-RTB-1 removable terminal block or ZIPLink pre-wired cables.",44.5,Programmable Controllers|Productivity Series ...|Productivity1000 (St...|AC I/O (Relay Outputs),Automation Direct
6,1039,"#40 Torx® Equivalent Security 1/4"""" Hex Key",nan,Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Torx Security Bits & Tools,Tanner Bolt
6,372,"Dynabrade® 53975 Non-Vacuum Conversion Pad, 3 in Dia, Hook Attachment",6.39,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
6,774,"1/4"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed - By the Inch",1.25,"Alloy|Flat|Cold Finished|1/4"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
6,991,"#14 x 1"" Tamper-Resistant Self Drilling Screws, Torx® Equivalent 6-Lobe with Solid Post, Flat Head, Driver Size: 27TXH, Hardened 410 Stainless Steel",nan,"Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Flat Head, Hardened 410 Stainless Steel",Tanner Bolt
6,1034,"#15 TORX® Equivalent (6-Lobe) Security 1/4"" Hex Key",nan,Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Torx Security Bits & Tools,Tanner Bolt
6,307,"Weiler® 89033 Drive Arbor, 1-3/4 in L, Steel",77.98,Abrasives|Abrasive Accessories|Adapters & Bushings,Blackhawk Industrial
6,138,"Productivity1000 analog combo module, Input: 4-channel, voltage, 0-10 VDC, Output: 2-channel, voltage, 0-10 VDC. Requires P1-10RTB or P1-10RTB-1 removable terminal block or ZIPLink pre-wired cables.",108.0,Programmable Controllers|Productivity Series ...|Productivity1000 (St...|Analog I/O,Automation Direct
6,820,"3/8"" {A} x 2"" {B} 4140 Cold Finished, Annealed - 60""",67.11,"Alloy|Flat|Cold Finished|3/8"" {A} x 2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
6,961,"#8 x 2-1/4"" Cement Board Self-Drilling Screws, Phillips Wafer Head, #2 Point, #2 Phillips Driver, Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
6,67,"CLICK Analog PLC, 24 VDC required, serial ports, Discrete Input: 4-point, DC, Analog Input: 2-channel, current/voltage, Discrete Output: 4-point, sourcing, Analog Output: 2-channel, current/voltage.",132.0,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
6,1046,"#10-16 x 3/4"" Drilit® Self-Drilling Screws, 5/16"" High Hex Washer Head, #1 Drilit® Point, Carbon Steel with Stalgard Coating, Made in USA",nan,"Fasteners|Screws|Self Drilling Screws|Elco Self-Drilling Screws|Standard Drilit® Self-Drilling Screws, Made in USA|Drilit® Self-Drilling Screws, Hex Washer Head, Made in USA",Tanner Bolt
6,25,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 7ft cable length, yellow. For use with 10/100/1000 Mbps networks.",7.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
6,790,"1/4"" {A} x 4"" {B} 4140 Cold Finished, Annealed - By the Inch",2.67,"Alloy|Flat|Cold Finished|1/4"" {A} x 4"" {B} 4140 Cold Finished, Annealed",Speedy Metals
6,117,"CLICK terminal blocks, replacement, 11-pole. Package of 2. For use with CLICK 8-point I/O modules.",12.5,Programmable Controllers|CLICK Series PLCs (S...|Spare Parts & Specialty Items,Automation Direct
6,436,"Dynabrade® 53973 Conversion Pad, Hook Attachment",5.13,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
6,376,"Dynabrade® 53980 Vacuum Interface Pad, 6 Holes, 6 in Dia, Hook Attachment",13.54,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
7,735,Dosatron® DM11F Wall Bracket & Strap,16.26,"Commercial & Industrial|Horticulture & Greenhouse|Injectors, Medicators, Proportioners",QC Supply
7,71,"CLICK Ethernet Basic PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, relay.",142.0,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
7,0,"ProSense hydrostatic submersible level transmitter, 0 to 5 psig (11.5ft of water column) sensing range, 4-20 mA, stainless steel body and polyoxymethylene (POM) ported bullet nose cap, 1/2in male NPT with shielded and vented 30ft cable.",306.0,Process Control & Measurement|Level Sensors & Controllers|Submersible Level Sensors,Automation Direct
7,53,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 50ft cable length, blue. For use with 10/100/1000 Mbps networks.",26.0,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
7,648,"1"" Universal Hudson Valve - Gravity/Pressurized Flow",26.0,Commercial & Industrial|Plumbing Supplies|Valves,QC Supply
7,54,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 50ft cable length, green. For use with 10/100/1000 Mbps networks.",26.0,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
7,49,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 25ft cable length, yellow. For use with 10/100/1000 Mbps networks.",15.5,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
7,656,Ramik® Rodenticide - Green Nuggets Rat Bait Packs - 15 lbs.,57.15,"Commercial & Industrial|Pest Control, Rodent, & Insect|Rat & Mouse Bait",QC Supply
7,707,Dosatron® D128R Medicator Repair Parts,3.66,"Commercial & Industrial|Horticulture & Greenhouse|Injectors, Medicators, Proportioners",QC Supply
7,20,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 7ft cable length, black. For use with 10/100/1000 Mbps networks.",7.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
7,28,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 10ft cable length, black. For use with 10/100/1000 Mbps networks.",9.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
7,609,DURA-LOCK® Anchoring System w/Fender Washer,3.87,"Commercial & Industrial|Building Materials|Hardware, Nuts, & Bolts",QC Supply
7,66,"CLICK Analog PLC, 24 VDC required, serial ports, Discrete Input: 4-point, DC, Analog Input: 2-channel, current/voltage, Discrete Output: 4-point, sinking, Analog Output: 2-channel, current/voltage.",132.0,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
7,143,"Productivity2000 CPU, up to 50 MB ladder memory, 4 x 10 character OLED display, microSD card slot, (2) Ethernet 10/100Base-T (RJ45), (1) RS-232 (RJ12), (1) RS-485 (3-pin terminal) and (1) microB-USB port(s), battery included.",261.0,Programmable Controllers|Productivity Series ...|Productivity2000 (Mi...|CPUs & Remotes,Automation Direct
7,706,"DURAFAN® Replacement Basket Fan Blades - 12"" - 36""",32.01,"Commercial & Industrial|Fans, Ventilation & Controls|Replacement Fan Blades",QC Supply
7,75,"CLICK Ethernet Standard PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, relay.",163.0,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
7,62,"CLICK Standard PLC, 24 VDC required, serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, sinking.",101.0,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
7,680,Dosatron® D14MZ3000 Injector,1082.53,"Commercial & Industrial|Horticulture & Greenhouse|Injectors, Medicators, Proportioners",QC Supply
7,670,Dosatron® D45RE15 Injector,499.0,"Commercial & Industrial|Horticulture & Greenhouse|Injectors, Medicators, Proportioners",QC Supply
7,674,DURAFAN® Duct/Pit Fans,312.0,"Commercial & Industrial|Fans, Ventilation & Controls|Tube Fans",QC Supply
7,674,DURAFAN® Duct/Pit Fans,312.0,"Commercial & Industrial|Fans, Ventilation & Controls|Tube Fans",QC Supply
8,327,"Weiler® 07772P Arbor Adapter, 5/8-11 to M10x1.5",5.9,Abrasives|Abrasive Accessories|Adapters & Bushings,Blackhawk Industrial
